AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
MGQ,Mogadishu Int'l,MGQ,Mogadishu,Somalia,SOS
MGS,Mangaia Island,MGS,Mangaia Island,Cook Islands,NZD
MGT,Millingimbi,MGT,Millingimbi,Australia,AUD
MGW,Morgantown,MGW,Morgantown,United States,USD
MGX,Moabi,MGX,Moabi,Gabon,XAF
MGZ,Myeik,MGZ,Myeik,Myanmar,MMK
MHD,Mashad,MHD,Mashad,Iran,IRR
MHE,Mitchell Municipal,MHE,Mitchell,United States,USD
MHH,Marsh Harbour Int'l,MHH,Marsh Harbour,Bahamas,BSD
MHK,Manhattan Municipal,MHK,Manhattan,United States,USD
MHQ,Mariehamn,MHQ,Mariehamn,Finland,EUR
MHT,Manchester,MHT,Manchester,United States,USD
MHV,Kern County,MHV,Mojave,United States,USD
MHX,Manihiki Island,MHX,Manihiki Island,Cook Islands,NZD
MHY,Morehead,MHY,Morehead,Papua New Guinea,PGK
MIA,Miami Int'l,MIA,Miami,United States,USD
MID,Rejon,MID,Merida,Mexico,MXN
MIE,Delaware County,MIE,Muncie,United States,USD
MII,Dr Gasto Vidigal,MII,Marilia,Brazil,BRL
MIK,Mikkeli,MIK,Mikkeli,Finland,EUR
BGY,Orio Al Serio,MIL,Milan,Italy,EUR
LIN,Linate,MIL,Milan,Italy,EUR
MXP,Malpensa,MIL,Milan,Italy,EUR
XIK,Central Station Airport,MIL,Milan,Italy,EUR
MIM,Merimbula,MIM,Merimbula,Australia,AUD
MIO,Miami Municipal Airport,MIO,Miami,United States,USD
MIR,Habib Bourguiba Int'l,MIR,Monastir,Tunisia,TND
MIS,Misima Island,MIS,Misima Island,Papua New Guinea,PGK
MIU,Maiduguri,MIU,Maiduguri,Nigeria,NGN
MJA,Manja,MJA,Manja,Madagascar,MGA
MJB,Mejit Island,MJB,Mejit Island,Marshall Islands,USD
MJC,Man,MJC,Man,Ivory Coast,
MJD,Mohenjodaro,MJD,Mohenjodaro,Pakistan,PKR
MJE,Majkin,MJE,Majkin,Marshall Islands,USD
MJF,Kjaerstad,MJF,Mosjoen,Norway,NOK
MJK,Shark Bay - Denham,MJK,Monkey Mia,Australia,AUD
MJL,Mouila,MJL,Mouila,Gabon,XAF
MJM,Mbuji Mayi,MJM,Mbuji Mayi,Congo (Rep. Dem.),CDF
MJN,Amborovy,MJN,Majunga,Madagascar,MGA
MJT,Mytilene,MJT,Mytilene,Greece,EUR
MJU,Mamuju,MJU,Mamuju,Indonesia,IDR
MJV,San Javier,MJV,Murcia,Spain,EUR
MJZ,Mirnyj,MJZ,Mirnyj,Russian Federation,RUB
MKB,Mekambo,MKB,Mekambo,Gabon,XAF
JCI,Johnson Industrial,MKC,Kansas City,United States,USD
MCI,Kansas City Int'l,MKC,Kansas City,United States,USD
MKC,Kansas City Downtown Airport,MKC,Kansas City,United States,USD
OJC,Johnson Executive,MKC,Kansas City,United States,USD
MKE,General Mitchell,MKE,Milwaukee,United States,USD
MKG,Muskegon,MKG,Muskegon,United States,USD
MKH,Mokhotlong,MKH,Mokhotlong,Lesotho,LSL
MKI,M'Boki,MKI,M'Boki,Central African Republic,XAF
MKJ,Makoua,MKJ,Makoua,Congo,CDF
MKK,Molokai,MKK,Hoolehua,United States,USD
MKL,Mckellar,MKL,Jackson,United States,USD
MKM,Mukah,MKM,Mukah,Malaysia,MYR
MKP,Makemo,MKP,Makemo,French Polynesia,XPF
MKQ,Mopah,MKQ,Merauke,Indonesia,IDR
MKR,Meekatharra,MKR,Meekatharra,Australia,AUD
MKS,Mekane Selam,MKS,Mekane Selam,Ethiopia,ETB
MKU,Makokou,MKU,Makokou,Gabon,XAF
MKW,Rendani,MKW,Manokwari,Indonesia,IDR
MKY,Mackay,MKY,Mackay,Australia,AUD
MKZ,Batu Berendum,MKZ,Malacca,Malaysia,MYR
MLA,Luqa,MLA,Malta,Malta,MTL
MLB,Melbourne Int'l,MLB,Melbourne,United States,USD
MLE,Male Int'l,MLE,Male,Maldives,MVR
MLG,Malang,MLG,Malang,Indonesia,IDR
MLI,Quad-City,MLI,Moline,United States,USD
MLL,Marshall Fortuna,MLL,Marshall Fortuna,United States,USD
MLM,Morelia,MLM,Morelia,Mexico,MXN
MLN,Melilla,MLN,Melilla,Spain,EUR
MLO,Milos,MLO,Milos,Greece,EUR
MLQ,Malalaua,MLQ,Malalaua,Papua New Guinea,PGK
MLS,Miles City Municipal,MLS,Miles City,United States,USD
MLU,Monroe Municipal,MLU,Monroe,United States,USD
MLW,Sprigg Payne,MLW,Monrovia,Liberia,LRD
ROB,Roberts Int'l,MLW,Monrovia,Liberia,LRD
MLX,Malatya,MLX,Malatya,Turkey,TRY
MLY,Manley Hot Spring,MLY,Manley Hot Spring,United States,USD
MLZ,Melo,MLZ,Melo,Uruguay,UYU
HMA,Malmo city HVC,MMA,Malmo,Sweden,SEK
MMX,Sturup,MMA,Malmo,Sweden,SEK
MMB,Memanbetsu,MMB,Memanbetsu,Japan,JPY
MMD,Maridor,MMD,Minami Daito,Japan,JPY
MME,Teesside int'l,MME,Teesside,United Kingdom,GBP
MMF,Mamfe,MMF,Mamfe,Cameroon,XAF
MMG,Mount Magnet,MMG,Mount Magnet,Australia,AUD
MMH,Mammoth Lakes,MMH,Mammoth Lakes,United States,USD
MMJ,Matsumoto,MMJ,Matsumoto,Japan,JPY
MMK,Murmansk,MMK,Murmansk,Russian Federation,RUB
MML,Marshall Municipal-Ryan Field,MML,Marshall,United States,USD
MMM,Middlemount,MMM,Middlemount,Australia,AUD
MMO,Vila Do Maio,MMO,Maio,Cape Verde,CVE
MMP,Mompos,MMP,Mompos,Colombia,COP
MMU,Morristown Municipal,MMU,Morristown,United States,USD
MMY,Hirara,MMY,Miyako Jima,Japan,JPY
MMZ,Maimana,MMZ,Maimana,Afghanistan,AFN
MNA,Melangguane,MNA,Melangguane,Indonesia,IDR
MNB,Moanda,MNB,Moanda,Congo (Rep. Dem.),CDF
MNC,Nacala,MNC,Nacala,Mozambique,MZN
MNF,Mana Islands,MNF,Mana Islands,Fiji Islands,FJD
MNI,Blackburne,MNI,Montserrat,Montserrat,XCD
MNJ,Mananjary,MNJ,Mananjary,Madagascar,MGA
MNK,Maiana,MNK,Maiana,Kiribati,AUD
MNL,Ninoy Aquino Int'l,MNL,Manila,Philippines,PHP
MNM,Marinette Menomin,MNM,Marinette Menomin,United States,USD
MNT,Minto,MNT,Minto,United States,USD
MNU,Maulmyine,MNU,Maulmyine,Myanmar,MMK
MNY,Mono,MNY,Mono,Solomon Islands,SBD
MOA,Orestes Acosta,MOA,Moa,Cuba,CUP
MOB,Mobile Municipal,MOB,Mobile,United States,USD
MOC,Montes Claros,MOC,Montes Claros,Brazil,BRL
MOD,Modesto Municipal,MOD,Modesto,United States,USD
MOF,Waioti,MOF,Maumere,Indonesia,IDR
MOG,Mong Hsat,MOG,Mong Hsat,Myanmar,MMK
MOI,Mitiaro Island,MOI,Mitiaro Island,Cook Islands,NZD
MOL,Aro,MOL,Molde,Norway,NOK
MOM,Moudjeria,MOM,Moudjeria,Mauritania,MRO
GTN,Glentanner,MON,Mount Cook,New Zealand,NZD
MON,Mount Cook,MON,Mount Cook,New Zealand,NZD
MOQ,Morondava,MOQ,Morondava,Madagascar,MGA
MOT,Minot Int'l,MOT,Minot,United States,USD
MOU,Mountain Village,MOU,Mountain Village,United States,USD
MOV,Moranbah,MOV,Moranbah,Australia,AUD
BKA,Bykovo,MOW,Moscow,Russian Federation,RUB
DME,Domodedovo,MOW,Moscow,Russian Federation,RUB
SVO,Sheremetyevo,MOW,Moscow,Russian Federation,RUB
VKO,Vnukovo,MOW,Moscow,Russian Federation,RUB
MOZ,Temae,MOZ,Moorea,French Polynesia,XPF
MPA,Mpacha,MPA,Mpacha,Namibia,NAD
MPD,Mirpur Khas,MPD,Mirpur Khas,Pakistan,PKR
MPH,Godofredo P. Ramos Airport,MPH,Caticlan,Philippines,PHP
MPL,Frejorgues,MPL,Montpellier,France,EUR
MPM,Maputo Int'l,MPM,Maputo,Mozambique,MZN
MPN,Mount Pleasant,MPN,Mount Pleasant,Falkland Islands,FKP
MPT,Maliana,MPT,Maliana,Indonesia,IDR
MPW,Mariupol,MPW,Mariupol,Ukraine,UAH
MQF,Magnitogorsk,MQF,Magnitogorsk,Russian Federation,RUB
MQH,Minacu Airport,MQH,Minacu,Brazil,BRL
MQL,Mildura,MQL,Mildura,Australia,AUD
MQM,Mardin Airport,MQM,Mardin,Turkey,TRY
MQN,Mo I Rana,MQN,Mo I Rana,Norway,NOK
MQQ,Moundou,MQQ,Moundou,Chad,XAF
MQS,Mustique Island,MQS,Mustique Island,St. Vincent & the Grenadines,XCD
MQT,Marquette County,MQT,Marquette,United States,USD
MQX,Makale,MQX,Makale,Ethiopia,ETB
MQY,Smyrna Airport,MQY,Smyrna,United States,USD
MRA,Misurata,MRA,Misurata,Libyan Arab Jamahiriya,LYD
MRD,A Carnevalli,MRD,Merida,Venezuela,VEF
MRE,Mara Lodges,MRE,Mara Lodges,Kenya,KES
MRK,Marco Island,MRK,Marco Island,United States,USD
MRO,Masterton,MRO,Masterton,New Zealand,NZD
MRS,Marseille,MRS,Marseille,France,EUR
MRU,Sir Seewoosagur,MRU,Mauritius,Mauritius,MUR
MRV,Mineralnye Vody,MRV,Mineralnye Vody,Russian Federation,RUB
MRY,Monterey Peninsula,MRY,Monterey,United States,USD
MRZ,Moree,MRZ,Moree,Australia,AUD
MSA,Muskrat Dam,MSA,Muskrat Dam,Canada,CAD
MSC,Falcon Field,MSC,Mesa,United States,USD
MSD,Mt Pleasant,MSD,Mt Pleasant,United States,USD
MSE,Kent Int'l,MSE,Manston,United Kingdom,GBP
MSH,Masirah,MSH,Masirah,Oman,OMR
MSJ,Misawa,MSJ,Misawa,Japan,JPY
MSL,Muscle Shoals,MSL,Muscle Shoals,United States,USD
MSN,Dane County Regional,MSN,Madison,United States,USD
MSO,Johnson Bell Field,MSO,Missoula,United States,USD
MSP,St Paul Int'l,MSP,Minneapolis,United States,USD
MSQ,Minsk,MSQ,Minsk,Belarus (Belorussia),BYR
MSR,Mus Airport,MSR,Mus,Turkey,TRY
MSS,Richards Field,MSS,Massena,United States,USD
MST,Maastricht/Aachen,MST,Maastricht,Netherlands,ANG
MSU,Moshoeshoe Int'l,MSU,Maseru,Lesotho,LSL
MSV,Sullivan County Int'l,MSV,Monticello,United States,USD
MSW,Massawa,MSW,Massawa,Eritrea,ERN
MSY,New Orleans Int'l,MSY,New Orleans,United States,USD
MSZ,Namibe,MSZ,Namibe,Angola,AOA
MTF,Mizan Teferi,MTF,Mizan Teferi,Ethiopia,ETB
MTH,Marathon Flight Strip,MTH,Marathon,United States,USD
MTJ,Montrose County,MTJ,Montrose,United States,USD
MTK,Makin Island,MTK,Makin Island,Kiribati,AUD
MTL,Maitland,MTL,Maitland,Australia,AUD
MTO,Coles County Memorial,MTO,Mattoon,United States,USD
MTR,S. Jeronimo,MTR,Monteria,Colombia,COP
MTS,Matsapha Int'l,MTS,Manzini,Swaziland,SZL
MTT,Minatitlan,MTT,Minatitlan,Mexico,MXN
MTV,Mota Lava,MTV,Mota Lava,Vanuatu,VUV
MTY,Gen Mariano Escobedo,MTY,Monterrey,Mexico,MXN
MTZ,Masada,MTZ,Masada,Israel,ILS
MUA,Munda,MUA,Munda,Solomon Islands,SBD
MUB,Maun,MUB,Maun,Botswana,BWP
AGB,Augsburg Muehlhausen,MUC,Munich,Germany,EUR
MUC,Franz Josef Strauss,MUC,Munich,Germany,EUR
MUD,Mueda Airport,MUD,Mueda,Mozambique,MZN
MUE,Kamuela,MUE,Kamuela,United States,USD
MUF,Muting,MUF,Muting,Indonesia,IDR
MUH,Marsa Matruh Airport,MUH,Mersa Matruh,Egypt,EGP
MUJ,Mui,MUJ,Mui,Ethiopia,ETB
MUK,Mauke Island,MUK,Mauke Island,Cook Islands,NZD
MUM,MUMIAS,MUM,Mumias,Kenya,KES
MUN,Quiriquire,MUN,Maturin,Venezuela,VEF
MUR,Marudi,MUR,Marudi,Malaysia,MYR
MUX,Multan,MUX,Multan,Pakistan,PKR
MUY,Mouyondzi,MUY,Mouyondzi,Congo,CDF
MUZ,Musoma,MUZ,Musoma,Tanzania,TZS
MVB,Franceville/Mvengue,MVB,Franceville,Gabon,XAF
MVD,Carrasco,MVD,Montevideo,Uruguay,UYU
MVN,Mt Vernon,MVN,Mt Vernon,United States,USD
MVO,Mongo,MVO,Mongo,Chad,XAF
MVP,Mitu,MVP,Mitu,Colombia,COP
MVQ,Mogilev,MVQ,Mogilev,Belarus (Belorussia),BYR
MVR,Salam,MVR,Maroua,Cameroon,XAF
MVT,Mataiva,MVT,Mataiva,French Polynesia,XPF
MVX,Minvoul,MVX,Minvoul,Gabon,XAF
MVY,Marthas Vineyard,MVY,Marthas Vineyard,United States,USD
MVZ,Masvingo,MVZ,Masvingo,Zimbabwe,ZWD
MWA,Williamson County,MWA,Marion,United States,USD
MWD,Mianwali,MWD,Mianwali,Pakistan,PKR
MWE,Merowe,MWE,Merowe,Sudan,SDG
MWF,Maewo,MWF,Maewo,Vanuatu,VUV
MWH,Grant County,MWH,Moses Lake,United States,USD
MWI,Maramuni,MWI,Maramuni,Papua New Guinea,PGK
MWX,Muan Intl Airport,MWX,Muan,South Korea,KRW
MWZ,Mwanza,MWZ,Mwanza,Tanzania,TZS
MXJ,Minna,MXJ,Minna,Nigeria,NGN
MXL,Mexicali,MXL,Mexicali,Mexico,MXN
MXM,Morombe,MXM,Morombe,Madagascar,MGA
MXS,Maota Savaii Island,MXS,Maota Savaii Island,Samoa,WST
MXT,Maintirano,MXT,Maintirano,Madagascar,MGA
MXX,Mora,MXX,Mora,Sweden,SEK
MXZ,Meixian,MXZ,Meixian,China,CNY
MYA,Moruya,MYA,Moruya,Australia,AUD
MYB,Mayoumba,MYB,Mayoumba,Gabon,XAF
MYD,Malindi,MYD,Malindi,Kenya,KES
MYE,Miyake Jima,MYE,Miyake Jima,Japan,JPY
MYG,Mayaguana,MYG,Mayaguana,Bahamas,BSD
MYI,Murray Island,MYI,Murray Island,Australia,AUD
MYJ,Matsuyama,MYJ,Matsuyama,Japan,JPY
MYQ,Mysore,MYQ,Mysore,India,INR
MYR,Myrtle AFB,MYR,Myrtle Beach,United States,USD
MYS,Moyale,MYS,Moyale,Ethiopia,ETB
MYT,Myitkyina,MYT,Myitkyina,Myanmar,MMK
MYU,Ellis Field,MYU,Mekoryuk,United States,USD
MYW,Mtwara,MYW,Mtwara,Tanzania,TZS
MYY,Miri,MYY,Miri,Malaysia,MYR
MYZ,Monkey Bay,MYZ,Monkey Bay,Malawi,MWK
MZB,Mocimboa Praia,MZB,Mocimboa Praia,Mozambique,MZN
MZC,Mitzic,MZC,Mitzic,Gabon,XAF
MZF,Mzamba (Wild Coas,MZF,Mzamba (Wild Coast),South Africa,ZAR
MZG,Makung,MZG,Makung,Taiwan,TWD
MZH,Amasya Merzifon Airport,MZH,Merzifon,Turkey,TRY
MZI,Mopti,MZI,Mopti,Mali,XOF
MZJ,Pinal Airpark,MZJ,Marana,United States,USD
MZK,Marakei,MZK,Marakei,Kiribati,AUD
MZL,Manizales,MZL,Manizales,Colombia,COP
MZO,Sierra Maestra,MZO,Manzanillo,Cuba,CUP
MZP,Motueka,MZP,Motueka,New Zealand,NZD
MZR,Mazar I Sharif,MZR,Mazar I Sharif,Afghanistan,AFN
MZT,Gen Rafael Buelna,MZT,Mazatlan,Mexico,MXN
MZX,Mena,MZX,Mena,Ethiopia,ETB
NAA,Narrabri,NAA,Narrabri,Australia,AUD
NAD,MACANAL,NAD,Macanal,Colombia,COP
NAE,Natitingou,NAE,Natitingou,Benin,XOF
NAG,Sonegaon,NAG,Nagpur,India,INR
NAH,Naha,NAH,Naha,Indonesia,IDR
NAK,Nakhon Ratchasima,NAK,Nakhon Ratchasima,Thailand,THB
NAL,Nalchik,NAL,Nalchik,Russian Federation,RUB
NAN,Nadi Int'l,NAN,Nadi,Fiji Islands,FJD
NAP,Naples,NAP,Naples,Italy,EUR
NAR,Nare,NAR,Nare,Colombia,COP
NAS,Nassau Int'l,NAS,Nassau,Bahamas,BSD
PID,Paradise Island,NAS,Nassau,Bahamas,BSD
NAT,Augusto Severo,NAT,Natal,Brazil,BRL
NAU,Napuka Island,NAU,Napuka Island,French Polynesia,XPF
NAV,Nevsehir Kapadokya Airport,NAV,Nevsehir,Turkey,TRY
NAW,Narathiwat,NAW,Narathiwat,Thailand,THB
NBB,Barrancominas,NBB,Barrancominas,Colombia,COP
NBC,Naberevnye Chelny,NBC,Naberevnye Chelny,Russian Federation,RUB
NBE,Hammamet,NBE,Enfidha,Tunisia,TND
NBO,Jomo Kenyatta Int'l,NBO,Nairobi,Kenya,KES
WIL,Wilson,NBO,Nairobi,Kenya,KES
NBX,Nabire,NBX,Nabire,Indonesia,IDR
NCA,North Caicos,NCA,North Caicos,Turcs & Caicos Islands,USD
NCE,Cote D'Azur,NCE,Nice,France,EUR
NCH,Nachingwea,NCH,Nachingwea,Tanzania,TZS
NCI,Necocli,NCI,Necocli,Colombia,COP
NCL,Newcastle Int'l,NCL,Newcastle,United Kingdom,GBP
NCP,Cubi Pt NAS Airport,NCP,Luzon,Philippines,PHP
NCS,Newcastle,NCS,Newcastle,South Africa,ZAR
NCU,Nukus,NCU,Nukus,Uzbekistan,UZS
NCY,Annecy-Meythe,NCY,Annecy,France,EUR
NDB,Nouadhibou,NDB,Nouadhibou,Mauritania,MRO
NDC,Nanded,NDC,Nanded,India,INR
NDE,Mandera,NDE,Mandera,Kenya,KES
NDJ,Ndjamena,NDJ,Ndjamena,Chad,XAF
NDK,Namdrik Island,NDK,Namdrik Island,Marshall Islands,USD
NDL,Ndele,NDL,Ndele,Central African Republic,XAF
NDM,Mendi,NDM,Mendi,Ethiopia,ETB
NDR,El Aroui,NDR,Nador,Morocco,MAD
NDU,Rundu,NDU,Rundu,Namibia,NAD
NDY,Sanday,NDY,Sanday,United Kingdom,GBP
NEG,Negril,NEG,Negril,Jamaica,JMD
NEK,Nekemt,NEK,Nekemt,Ethiopia,ETB
NER,Neryungri,NER,Neryungri,Russian Federation,RUB
NEV,Newcastle,NEV,Nevis,St. Kitts and Nevis,XCD
NFO,Mata’aho,NFO,Niuafo'ou,Tonga,TOP
NGB,Ningbo,NGB,Ningbo,China,CNY
NGD,Anegada,NGD,Anegada,British Virgin Islands,USD
NGE,Ngaoundere,NGE,Ngaoundere,Cameroon,XAF
NGO,Komaki AFB,NGO,Nagoya,Japan,JPY
NGS,Nagasaki,NGS,Nagasaki,Japan,JPY
NGV,Ngiva,NGV,Ngiva,Angola,AOA
NHV,Nuku Hiva,NHV,Nuku Hiva,French Polynesia,XPF
NIA,Nimba,NIA,Nimba,Liberia,LRD
NIB,Nikolai,NIB,Nikolai,United States,USD
NIG,Nikunau,NIG,Nikunau,Kiribati,AUD
NIM,Niamey,NIM,Niamey,Niger,XOF
NIX,Nioro,NIX,Nioro,Mali,XOF
NJC,Nizhnevartovsk Airport,NJC,Nizhnevartovsk,Russian Federation,RUB
NJF,Najaf,NJF,Najaf,Iraq,IQD
NKC,Nouakchott,NKC,Nouakchott,Mauritania,MRO
NKG,Nanjing,NKG,Nanjing,China,CNY
NKI,Naukiti,NKI,Naukiti,United States,USD
NKT,Sirnak Airport,NKT,Sirnak,Turkey,TRY
NKU,Nkaus,NKU,Nkaus,Lesotho,LSL
NKY,Nkayi,NKY,Nkayi,Congo,CDF
NLA,Ndola,NLA,Ndola,Zambia,ZMW 
NLD,Nuevo Laredo Intl,NLD,Nuevo Laredo,Mexico,MXN
NLF,Darnley Island,NLF,Darnley Island,Australia,AUD
NLG,Nelson Lagoon,NLG,Nelson Lagoon,United States,USD
NLK,Norfolk Island,NLK,Norfolk Island,Norfolk Islands,AUD
NLL,Nullagine,NLL,Nullagine,Australia,AUD
NLP,Nelspruit,NLP,Nelspruit,South Africa,ZAR
NMA,Namangan Airport,NMA,Namangan,Uzbekistan,UZS
NMB,Daman,NMB,Daman,India,INR
NME,Nightmute,NME,Nightmute,United States,USD
NMG,San Miguel,NMG,San Miguel,Panama,PAB
NNB,Santa Ana,NNB,Santa Ana,Solomon Islands,SBD
NNG,Nanning Airport,NNG,Nanning,China,CNY
NNI,Namutoni,NNI,Namutoni,Namibia,NAD
NNK,Naknek,NNK,Naknek,United States,USD
NNL,Nondalton,NNL,Nondalton,United States,USD
NNM,Naryan - Mar Airport,NNM,Naryan Mar,Russian Federation,RUB
NNR,Connemara Airport,NNR,Spiddal,Ireland,EUR
NNT,Nan,NNT,Nan,Thailand,THB
NOA,Nowra,NOA,Nowra,Australia,AUD
NOB,Nosara Beach,NOB,Nosara Beach,Costa Rica,CRC
NOC,Knock Int'l,NOC,Knock,Ireland,EUR
NOJ,Noyabrsk,NOJ,Nojabrxsk,Russian Federation,RUB
NOM,Nomad River,NOM,Nomad River,Papua New Guinea,PGK
NON,Nonouti,NON,Nonouti,Kiribati,AUD
NOP,Sinop Airport,NOP,Mactan Island,Philippines,PHP
NOR,Nordfjordur,NOR,Nordfjordur,Iceland,ISK
NOS,Fascene,NOS,Nossi Be,Madagascar,MGA
GEA,Magenta,NOU,Noumea,New Caledonia,XPF
NOU,Tontouta,NOU,Noumea,New Caledonia,XPF
NOV,Huambo,NOV,Huambo,Angola,AOA
NOZ,Novokuznetsk,NOZ,Novokuznetsk,Russian Federation,RUB
NPE,Hawkes Bay,NPE,Napier,New Zealand,NZD
NPH,Nephi,NPH,Nephi,United States,USD
NPL,New Plymouth,NPL,New Plymouth,New Zealand,NZD
NQN,Neuquen,NQN,Neuquen,Argentina,ARS
EMA,East Midlands,NQT,Nottingham,United Kingdom,GBP
NQT,Nottingham Airport,NQT,Nottingham,United Kingdom,GBP
NQU,Nuqui,NQU,Nuqui,Colombia,COP
NQY,Newquay,NQY,Newquay,United Kingdom,GBP
NRA,Narrandera,NRA,Narrandera,Australia,AUD
NRD,Norderney,NRD,Norderney,Germany,EUR
NRK,Kungsangen,NRK,Norrkoping,Sweden,SEK
NRL,North Ronaldsay,NRL,North Ronaldsay,United Kingdom,GBP
NRM,Nara,NRM,Nara,Mali,XOF
NSA,Noosa,NSA,Noosa,Australia,AUD
NSK,Norilsk,NSK,Norilsk,Russian Federation,RUB
NSM,Norseman,NSM,Norseman,Australia,AUD
NSN,Nelson,NSN,Nelson,New Zealand,NZD
NSO,Scone,NSO,Scone,Australia,AUD
NST,Nakon Si Thammarat,NST,Nakon Si Thammarat,Thailand,THB
NSY,Sigonella,NSY,Sigonella,Italy,EUR
NTE,Nantes Atlantique,NTE,Nantes,France,EUR
NTG,Nantong Xingdong Airport,NTG,Nantong,China,CNY
NTI,Bintuni,NTI,Bintuni,Indonesia,IDR
BEO,Belmont,NTL,Newcastle,Australia,AUD
NTL,Williamtown,NTL,Newcastle,Australia,AUD
NTM,Miracema Do Norte,NTM,Miracema Do Norte,Brazil,BRL
NTN,Normanton,NTN,Normanton,Australia,AUD
NTT,Kuini Lavenia,NTT,Niuatoputapu,Tonga,TOP
NTX,Natuna Ranai,NTX,Natuna Ranai,Indonesia,IDR
NTY,Pilansberg,NTY,Sun City,South Africa,ZAR
NUB,Numbulwar,NUB,Numbulwar,Australia,AUD
NUE,Nuremberg,NUE,Nuremberg,Germany,EUR
NUI,Nuiqsut,NUI,Nuiqsut,United States,USD
NUK,Nukutavake,NUK,Nukutavake,French Polynesia,XPF
NUL,Nulato,NUL,Nulato,United States,USD
NUP,Nunapitchuk,NUP,Nunapitchuk,United States,USD
NUS,Norsup,NUS,Norsup,Vanuatu,VUV
NUU,Nakuru,NUU,Nakuru,Kenya,KES
NUX,Novy Urengoy Airport,NUX,Novy Urengov,Russian Federation,RUB
NVA,La Marguita,NVA,Neiva,Colombia,COP
NVI,Navoi Intl Airport,NVI,Navoi,Uzbekistan,UZS
NVK,Framnes,NVK,Narvik,Norway,NOK
NVS,FOURCHAMBAULT,NVS,Nevers,France,EUR
NVT,Navegantes,NVT,Navegantes,Brazil,BRL
NVY,Neyveli,NVY,Neyveli,India,INR
NWA,Moheli,NWA,Moheli,Comoros,KMF
NWI,Norwich,NWI,Norwich,United Kingdom,GBP
NWT,Nowata,NWT,Nowata,Papua New Guinea,PGK
EWR,Newark Int'l,NYC,New York,United States,USD
JFK,John F Kennedy Int'l,NYC,New York,United States,USD
JRB,Downtown Manhattan H/p,NYC,New York,United States,USD
LGA,La Guardia,NYC,New York,United States,USD
NYE,Nyeri,NYE,Nyeri,Kenya,KES
NYI,Sunyani,NYI,Sunyani,Ghana,GHS
NYK,Nanyuki,NYK,Nanyuki,Kenya,KES
NYM,Nadym Airport,NYM,Nadym,Russian Federation,RUB
NYT,Naypyidaw Intl Airport,NYT,Naypyidaw,Myanmar,MMK
NYU,Nyaung U,NYU,Nyaung U,Myanmar,MMK
NZE,Nzerekore,NZE,Nzerekore,Guinea,GNF
OAG,Orange Springhill Spr,OAG,Orange Cudal,Australia,AUD
OAJ,Albert J Ellis,OAJ,Jacksonville,United States,USD
OAK,Oakland Int'l,OAK,Oakland,United States,USD
OAM,Oamaru,OAM,Oamaru,New Zealand,NZD
OAX,Xoxocotlan,OAX,Oaxaca,Mexico,MXN
OBC,Obock,OBC,Obock,Djibouti,DJF
OBD,Obano,OBD,Obano,Indonesia,IDR
OBF,Oberpfaffenhofen,OBF,Oberpfaffenhofen,Germany,EUR
OBM,Morobe,OBM,Morobe,Papua New Guinea,PGK
OBO,Obihiro,OBO,Obihiro,Japan,JPY
OBU,Kobuk/Wien,OBU,Kobuk,United States,USD
OBX,Obo,OBX,Obo,Papua New Guinea,PGK
OCA,Ocean Reef,OCA,Ocean Reef,United States,USD
OCC,Coca,OCC,Coca,Ecuador,USD
OCH,Nacogdoches,OCH,Lufkin,United States,USD
OCJ,Boscobel,OCJ,Ocho Rios,Jamaica,JMD
OCV,Ocana,OCV,Ocana,Colombia,COP
ODA,Ouadda,ODA,Ouadda,Central African Republic,XAF
ODE,Beldringe,ODE,Odense,Denmark,DKK
ODJ,Ouanda Djalle,ODJ,Ouanda Djalle,Central African Republic,XAF
ODN,Long Seridan,ODN,Long Seridan,Malaysia,MYR
ODR,ORD RIVER,ODR,Ord River,Australia,AUD
ODS,Odessa Central,ODS,Odessa,Ukraine,UAH
ODW,Oak Harbor,ODW,Oak Harbor,United States,USD
ODY,Oudomxay,ODY,Oudomxay,Lao People's Democratic Republic,LAK
OEC,Ocussi,OEC,Ocussi,Indonesia,IDR
OER,Ornskoldsvik,OER,Ornskoldsvik,Sweden,SEK
OES,San Antonio Oeste,OES,San Antonio Oeste,Argentina,ARS
OFI,Ouango Fitini,OFI,Ouango Fitini,Ivory Coast,
OFJ,Olafsfjordur,OFJ,Olafsfjordur,Iceland,ISK
OFK,Stefan Field,OFK,Norfolk,United States,USD
OFU,Ofu,OFU,Ofu,American Samoa,USD
OGG,Kahului,OGG,Kahului,United States,USD
OGL,,OGL,Ogle,Guyana,GYD
OGN,Yonaguni Jima,OGN,Yonaguni Jima,Japan,JPY
OGO,Abengourou,OGO,Abengourou,Ivory Coast,
OGR,Bongor,OGR,Bongor,Chad,XAF
OGS,Ogdensburg,OGS,Ogdensburg,United States,USD
OGU,Ordu Giresun Airport,OGU,Ordu,Turkey,TRY
OGX,Ain Beida,OGX,Ouargla,Algeria,DZD
OGZ,Vladikavkaz,OGZ,Vladikavkaz,Russian Federation,RUB
OHD,Ohrid,OHD,Ohrid,Macedonia,MKD
OHI,Oshakati,OHI,Oshakati,Namibia,NAD
OHR,Wyk Auf Foehr,OHR,Wyk Auf Foehr,Germany,EUR
OHS,Sohar,OHS,Sohar,Oman,OMR
