AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
IBZ,Ibiza,IBZ,Ibiza,Spain,EUR
ICI,Cicia,ICI,Cicia,Fiji Islands,FJD
ICK,Nieuw Nickerie,ICK,Nieuw Nickerie,Suriname,SRD
BEC,Wichita Beech,ICT,Wichita,United States,USD
CEA,Cessna Aircraft Field,ICT,Wichita,United States,USD
ICT,Mid-Continent,ICT,Wichita,United States,USD
IDA,Fanning Field,IDA,Idaho Falls,United States,USD
IDN,Indagen,IDN,Indagen,Papua New Guinea,PGK
IDR,Indore,IDR,Indore,India,INR
IEG,Zielona Gora - Babimost Airport,IEG,Zielona Gora,Poland,PLN
IEV,Zhulhany,IEV,Kiev,Ukraine,UAH
KBP,Borispol,IEV,Kiev,Ukraine,UAH
IFJ,Isafjordur,IFJ,Isafjordur,Iceland,ISK
IFN,Isfahan,IFN,Isfahan,Iran,IRR
IFO,Ivano Frankovsk,IFO,Ivano Frankovsk,Ukraine,UAH
IGA,Inagua,IGA,Inagua,Bahamas,BSD
IGD,Igdir Airport,IGD,Igdir,Turkey,TRY
IGG,Igiugig,IGG,Igiugig,United States,USD
IGM,Kingman,IGM,Kingman,United States,USD
IGO,Chigorodo,IGO,Chigorodo,Colombia,COP
IGR,Cataratas,IGR,Iguazu,Argentina,ARS
IGT,Magas Airport,IGT,Magas,Russian Federation,RUB
IGU,Cataratas,IGU,Iguassu Falls,Brazil,BRL
IHN,Qishn,IHN,Qishn,Yemen,YER
IHO,Ihosy,IHO,Ihosy,Madagascar,MGA
IHU,Ihu,IHU,Ihu,Papua New Guinea,PGK
IIA,Inishmaan,IIA,Inishmaan,Ireland,EUR
IKI,Iki,IKI,Iki,Japan,JPY
IKL,Ikela,IKL,Ikela,Congo (Rep. Dem.),CDF
IKS,Tiksi,IKS,Tiksi,Russian Federation,RUB
IKT,Irkutsk,IKT,Irkutsk,Russian Federation,RUB
ILA,Illaga,ILA,Illaga,Indonesia,IDR
ILD,Alguaire,ILD,Lleida,Spain,EUR
ILE,Killeen Municipal,ILE,Killeen,United States,USD
ILG,Greater Wilmington,ILG,Wilmington,United States,USD
ILI,Iliamna,ILI,Iliamna,United States,USD
ILK,Ilaka,ILK,Ilaka,Madagascar,MGA
ILM,New Hanover County,ILM,Wilmington,United States,USD
ILO,Mandurriao,ILO,Iloilo,Philippines,PHP
ILP,Ile Des Pins,ILP,Ile Des Pins,New Caledonia,XPF
